region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
42101004102,Pennsylvania,39.92100906,39.91487122,-75.1556015,-75.16452789,39.91794205,-75.16005707,997.9,644,89.18918919,25.34435262,52,117,338,382,7779,10,8668,2.5,2167,13329.4876,38570.17504,101008.5109,109147.0674,2341371.372,3108.12876,2603426.613,"[[0,599],[5,38],[10,1],[15,1],[20,3],[35,1],[145,1]]",1654.37512,0,POINT(-75.1600570678711 39.9179420471191)
42101006200,Pennsylvania,39.92396927,39.91484833,-75.22753906,-75.23950958,39.91941452,-75.23352814,997.9,278,90.20100503,19.35933148,14,293,20,106,8312,10,8745,2.5,2186.25,3952.329834,92937.78611,5523.158472,32288.0502,2490861.63,3095.979944,2625562.955,"[[0,248],[5,13],[10,3],[15,2],[20,1],[25,1],[35,1],[40,1],[45,1],[65,2],[85,1],[95,1],[110,1],[185,1],[570,1]]",1668.441893,0,POINT(-75.233528137207 39.9194145202637)
42101007102,Pennsylvania,39.9450798,39.93674088,-75.2227478,-75.23362732,39.94092178,-75.2282486,997.9,364,85.86206897,20.88353414,18,175,429,724,7544,10,8890,2.5,2222.5,4719.213696,53890.31584,117890.5666,226233.0791,2257460.014,3058.600696,2660193.189,"[[0,337],[5,15],[10,1],[15,2],[20,2],[40,1],[45,1],[50,1],[75,1],[210,1],[340,2]]",1690.448044,0,POINT(-75.2282485961914 39.9409217834473)
42101017201,Pennsylvania,40.00366974,39.99562073,-75.16590118,-75.17234802,39.99939728,-75.16860962,997.9,371,89.82074264,26.44333571,19,62,126,141,7933,10,8281,2.5,2070.25,5012.997852,19516.75029,34912.5854,39838.15859,2355179.461,3031.892828,2454459.953,"[[0,322],[5,25],[10,1],[15,6],[20,2],[25,3],[30,1],[35,2],[40,1],[45,2],[60,1],[65,2],[100,2],[165,1]]",1559.712672,0,POINT(-75.1686096191406 39.999397277832)
42101017202,Pennsylvania,40.0012207,39.99623871,-75.1697464,-75.18019104,39.99866867,-75.17420959,997.9,337,81.93130911,20.47387606,6,214,150,36,4281,10,4687,2.5,1171.75,1501.342694,69105.48497,40352.37581,9328.647174,1267311.533,3019.245654,1387599.384,"[[0,309],[5,18],[10,4],[15,1],[20,2],[25,1],[40,1],[70,1]]",881.7647807,0,POINT(-75.1742095947266 39.9986686706543)
42101017701,Pennsylvania,39.99885178,39.99266815,-75.11097717,-75.12030792,39.99644852,-75.11675262,997.9,382,88.39541547,30.95623987,43,225,207,368,6112,10,6955,2.5,1738.75,10993.59484,71707.86747,58399.79028,109042.8219,1809526.788,2998.691882,2059670.862,"[[0,340],[5,17],[10,8],[15,2],[20,4],[30,3],[35,1],[40,1],[45,3],[50,1],[65,1],[80,1]]",1308.839747,0,POINT(-75.1167526245117 39.9964485168457)
42101019800,Pennsylvania,40.01519012,40.00738907,-75.13585663,-75.14759827,40.01072311,-75.14215088,997.9,568,87.46556474,29.81627297,520,834,386,349,24482,10,26571,2.5,6642.75,135914.5245,267649.6691,114461.1967,97989.26888,7331044.563,3063.111963,7947059.222,"[[0,483],[5,34],[10,9],[15,10],[20,7],[25,4],[30,3],[35,2],[45,1],[55,1],[60,2],[70,2],[125,1],[140,1],[155,1],[170,1],[220,1],[270,1],[335,1],[470,1],[785,1],[1360,1]]",5050.043272,0,POINT(-75.1421508789062 40.0107231140137)
42101031402,Pennsylvania,40.04858017,40.03797913,-75.05429077,-75.06558228,40.04328156,-75.06028748,997.9,328,90.38257173,19.28277484,28,175,63,5,7272,10,7543,2.5,1885.75,7401.316791,54331.83585,18948.2828,1370.170428,2162110.865,2985.852649,2244162.47,"[[0,309],[5,7],[10,1],[15,1],[25,1],[45,2],[50,1],[65,1],[75,1],[80,1],[100,1],[125,1],[385,1]]",1426.076901,0,POINT(-75.0602874755859 40.0432815551758)
42101031600,Pennsylvania,40.03797913,40.02743912,-75.05097198,-75.06436157,40.03261185,-75.05906677,997.9,512,91.45338208,25.5872064,35,193,492,61,17253,10,18034,2.5,4508.5,9520.224951,60202.75472,148697.7299,16160.821,5169500.688,3069.569348,5404082.219,"[[0,456],[5,29],[15,7],[20,3],[25,2],[30,3],[35,1],[40,1],[65,1],[80,1],[130,1],[135,1],[145,1],[285,1],[290,1],[380,1],[560,1],[565,1]]",3434.0815,0,POINT(-75.0590667724609 40.0326118469238)
42045400402,Pennsylvania,39.96187973,39.9515686,-75.26104736,-75.27189636,39.95668411,-75.26689911,1009.8,240,86.1882716,21.48612355,43,244,133,47,10572,11,11039,2.75,2759.75,11381.05093,77224.59481,37932.57107,13121.09431,3150442.242,3372.462885,3290101.553,"[[0,190],[5,12],[10,5],[15,6],[20,6],[30,2],[35,1],[40,2],[50,1],[55,3],[70,1],[80,1],[85,1],[95,2],[110,1],[115,1],[130,1],[140,1],[150,1],[155,1],[190,1]]",2090.730011,0,POINT(-75.2668991088867 39.9566841125488)